title,videoId,date,view,like,hour,min,sec,log_like,view_log_like
[WINNER BROTHERS] 업보빔 맞은 송민호⚡(feat. 입조심) | HIGHLIGHT,AQx1_9JxpsQ,2023-05-19,47385,3343,-,-,52,8.114623886420098,384511.45285801636
[WINNER BROTHERS] 스‘위트’ 애교 모음.zip | SPECIAL CLIP,Un0MgMAK6ls,2023-05-17,14292,3032,-,-,26,8.016977746762262,114578.64595672625
[WINNER BROTHERS] EP.6 위트 있는 브라더스✨ #2 | WITTY BROTHERS #2,CwSVYKjaPOE,2023-05-16,520662,53038,-,19,10,10.878763916758155,5664158.978427134
[WINNER BROTHERS] YG 후배 아이돌 애교로 기강 잡기❤️‍🔥 | HIGHLIGHT CLIP,JBGfFpiTomA,2023-05-12,47430,4045,-,-,59,8.305236829492593,393917.38282283366
위너X트레저 밸런스 게임 2️⃣ #WINNER_BROTHERS,5aiSP-XI4uw,2023-05-11,98818,6268,-,-,58,8.74321260347591,863986.7830502825
위너X트레저 밸런스 게임 1️⃣ #WINNER_BROTHERS,7h6Yq1_9gjY,2023-05-11,161789,8848,-,-,57,9.087946723762116,1470329.812490749
[WINNER BROTHERS] 神인 아이돌 ‘위트’ | SPECIAL CLIP,P1MttJr8Z0g,2023-05-10,41640,5745,-,-,40,8.656085190282855,360439.3873233781
[WINNER BROTHERS] EP.5 위트 있는 브라더스✨ #1 | WITTY BROTHERS #1,0M3eoL8b5Z8,2023-05-09,848051,78319,-,16,20,11.268545508992133,9556301.287446288
[WINNER BROTHERS] 층간 소음 해결법 위너 ver.🏠 | HIGHLIGHT CLIP,EcaznHEEk6w,2023-05-05,26328,2473,-,-,1,7.813187267521416,205705.59437930383
친구들끼리 깜찍하게 홀리데이를 즐기는 방법 #WINNER_BROTHERS,fAmtWjbyKK4,2023-05-04,162755,12349,-,-,23,9.421330367117822,1533368.623900261
[WINNER BROTHERS] EP.4 위너의 홀리데이🎉 | WINNER's HOLIDAY,NgXIc_WxxxA,2023-05-02,91744,8186,-,14,26,9.010180657052349,826630.0142006107
[WINNER BROTHERS] 다진 마늘로 부자가 된 김진우💰 | HIGHLIGHT CLIP,fB9j4PHtVGE,2023-04-28,23842,2286,-,-,1,7.734558844354756,184407.35196710608
[WINNER BROTHERS] 먹잘알 위너의 먹언 대방출 | SPECIAL CLIP,G_O_7tflcuE,2023-04-26,22018,2235,-,-,16,7.711996507047669,169802.73909217556
[WINNER BROTHERS] EP.3 방구석 알바🥇 | Working part-time in a room,5rMC1gF_4vw,2023-04-25,75834,6893,-,17,41,8.838261682885651,670240.7364599505
[WINNER BROTHERS] 요즘 MZ 신입 발표 수준💦 | HIGHLIGHT CLIP,yV_LN1VlsOE,2023-04-24,17039,1769,-,-,58,7.478169694159785,127420.53341878857
직급별 ‘I LOVE U’ 추는 법 #WINNER_BROTHERS,0Q27F3BlBHY,2023-04-24,490101,16527,-,-,27,9.712750686140826,4760228.824028305
[WINNER BROTHERS] 직장인 공감 모음.zip | SPECIAL CLIP,DdCA6dmNVPg,2023-04-19,15375,2086,-,-,31,7.643003635560718,117511.18089674604
[WINNER BROTHERS] EP.2 마케팅의 위너📊 | WINNER of Marketing,5WNpLdn4plA,2023-04-18,88373,8530,-,15,31,9.051344640485725,799894.479913645
[WINNER BROTHERS] 꽁트에 진심인 위너.mp4🎬 | HIGHLIGHT CLIP,w2fOSQ1xnBg,2023-04-14,18134,2152,-,-,1,7.674152921281675,139163.0890745219
WINNER 2022 CONCERT [THE CIRCLE] KiT VIDEO PREVIEW,992QJMjFQaM,2023-04-14,10310,1756,-,-,45,7.470793774195062,77023.88381195109
위너한테 누구세요? 라고 해봤다 #WINNER_BROTHERS,MyHWtdMsywE,2023-04-13,1055436,32989,-,-,34,10.403929451547379,10980681.684623359
[WINNER BROTHERS] EP.1 강김송이 능력시험💯 | KangKimSongLee Exam,uDUqMKw6zmM,2023-04-11,180614,15434,-,16,58,9.644328147017548,1741900.6839454274
[WINNER BROTHERS] COMING SOON TEASER,9Jv0YQf6nzg,2023-04-04,29829,4837,-,-,11,8.484049972822984,253070.7266393368
「위너 2022 콘서트 더 서클 : 더 무비」 두 번째 예고편 공개! | 「WINNER 2022 THE CIRCLE : THE MOVIE」 2nd TRAILER,W5C7sEfHhgU,2023-01-18,17608,2110,-,-,30,7.6544432264701125,134779.43633168575
「위너 2022 콘서트 더 서클 : 더 무비」 메인예고편 공개! | 「WINNER 2022 THE CIRCLE : THE MOVIE」 TRAILER,DglkRMsQIsw,2023-01-13,19358,2385,-,-,30,7.776954403322442,150546.28333951582
위너 첫 영화 「위너 2022 콘서트 더 서클 : 더 무비」 CGV 단독 개봉,Fxw7j2StiV0,2023-01-09,12606,2096,-,-,41,7.647786045440933,96407.9908888284
[WINNER BROTHERS] 백패킹 하면 위험한 이유🫣 | HIGHLIGHT CLIP,UwIu2EXGmmQ,2023-06-30,10362,1200,-,-,59,7.090076835776092,73467.37617231187
[WINNER BROTHERS] SPECIAL EPISODE 백패킹의 세계로⛺️ | WINNER's Backpacking,7O2dlrNmBWQ,2023-06-27,78339,5815,-,20,43,8.668196064952765,679057.8115323347
[WINNER BROTHERS] 가슴에 국밥 쏟는 위너의 10년차 우정🥹 | HIGHLIGHT CLIP,qbEfsvEriKw,2023-06-23,22674,1765,-,-,59,7.475905969367397,169508.69194943635
위너브라더스 막방🥳 #WINNER_BROTHERS,GrS9o6w3MnY,2023-06-22,15977,1989,-,-,6,7.5953872788539725,121351.50255424992
[WINNER BROTHERS] 엔딩 맛집 위너 브라더스 | SPECIAL CLIP,f2qwTCYPnzQ,2023-06-22,6120,1124,-,-,25,7.024649030453636,42990.852066376254
[WINNER BROTHERS] 박인서에게 보내는 영상 편지 | SPECIAL CLIP,9iLBICk4rqM,2023-06-21,5864,1234,-,-,47,7.1180162044653335,41740.04702298471
[WINNER BROTHERS] EP.10 위심동체🍀 #2 | WE 4RE WINNER #2,Idg_fyzgT2E,2023-06-20,34008,3808,-,-,16,8.244859395911256,280391.17833615
[WINNER BROTHERS] 여름철 희대의 난제🤦‍♂️ | HIGHLIGHT CLIP,mC1A_qjc7cA,2023-06-16,8775,1113,-,-,30,7.014814351275545,61554.99593244291
‘I LOVE U’ 누가 불렀을까요?💙🎙️ #WINNER_BROTHERS,j-yPY9HEbPg,2023-06-15,89576,4268,-,-,13,8.358900612421644,748756.8812582812
[WINNER BROTHERS] EP.9 위심동체🍀 #1 | WE 4RE WINNER #1,ZTjn48mB0mg,2023-06-13,40626,4260,-,14,45,8.357024439263416,339512.4748695155
[WINNER BROTHERS] 제철 위너 김진우 예능 폼 미쳤다🔥 | HIGHLIGHT CLIP,BGf0Uk3H-dU,2023-06-02,11608,1299,-,-,52,7.1693500166706,83221.81499351232
[WINNER BROTHERS] 본격 희로애락 브라더스 | SPECIAL CLIP,jx-B4DShR44,2023-05-31,5897,1212,-,-,19,7.10002716662926,41868.86020161274
[WINNER BROTHERS] EP.8 부루마불로 세계일주🎲 | World Tour with Blue Marble game,T8aIJWzCDKY,2023-05-30,44872,4519,-,20,1,8.41604600941128,377644.81653430295
[WINNER BROTHERS] 무대를 뒤집어 놓은 위너 댄스 신고식🤸‍♂️ | HIGHLIGHT CLIP,Bxc0yp8w12g,2023-05-26,12991,1450,-,-,59,7.27931883541462,94565.63099087133
[WINNER BROTHERS] 네잎 클로버 (Retro ver.) | SPECIAL CLIP,k9aCwH13_Is,2023-05-24,17679,2118,-,-,1,7.658227526161352,135389.80443500655
[WINNER BROTHERS] EP.7 옛능의 위너🎙 | Tray Noraebang,16QVwpgphI4,2023-05-23,65879,6283,-,18,27,8.745602852402946,576151.5703134537
[WINNER BROTHERS] 업보빔 맞은 송민호⚡(feat. 입조심) | HIGHLIGHT,AQx1_9JxpsQ,2023-05-19,47385,3343,-,-,52,8.114623886420098,384511.45285801636
[WINNER BROTHERS] 스‘위트’ 애교 모음.zip | SPECIAL CLIP,Un0MgMAK6ls,2023-05-17,14292,3032,-,-,26,8.016977746762262,114578.64595672625
[WINNER BROTHERS] EP.6 위트 있는 브라더스✨ #2 | WITTY BROTHERS #2,CwSVYKjaPOE,2023-05-16,520662,53038,-,19,10,10.878763916758155,5664158.978427134
[WINNER BROTHERS] YG 후배 아이돌 애교로 기강 잡기❤️‍🔥 | HIGHLIGHT CLIP,JBGfFpiTomA,2023-05-12,47430,4045,-,-,59,8.305236829492593,393917.38282283366
위너X트레저 밸런스 게임 2️⃣ #WINNER_BROTHERS,5aiSP-XI4uw,2023-05-11,98818,6268,-,-,58,8.74321260347591,863986.7830502825
위너X트레저 밸런스 게임 1️⃣ #WINNER_BROTHERS,7h6Yq1_9gjY,2023-05-11,161789,8848,-,-,57,9.087946723762116,1470329.812490749
[WINNER BROTHERS] 神인 아이돌 ‘위트’ | SPECIAL CLIP,P1MttJr8Z0g,2023-05-10,41640,5745,-,-,40,8.656085190282855,360439.3873233781
[WINNER BROTHERS] EP.5 위트 있는 브라더스✨ #1 | WITTY BROTHERS #1,0M3eoL8b5Z8,2023-05-09,848051,78319,-,16,20,11.268545508992133,9556301.287446288
[WINNER BROTHERS] 층간 소음 해결법 위너 ver.🏠 | HIGHLIGHT CLIP,EcaznHEEk6w,2023-05-05,26328,2473,-,-,1,7.813187267521416,205705.59437930383
친구들끼리 깜찍하게 홀리데이를 즐기는 방법 #WINNER_BROTHERS,fAmtWjbyKK4,2023-05-04,162755,12349,-,-,23,9.421330367117822,1533368.623900261
